,neighbors,smoothing,degree,surface_temperature,diurnal_temperature_range
0,50,,1,2.3898965599659885,2.4074855191480915
1,50,,2,9.817485628316481,14.618363689298514
2,50,0.1,1,2.270977531189398,2.242761678624726
3,50,0.1,2,9.43964010091121,14.04464954459003
4,50,1.0,1,1.9899929026935135,1.89529339325233
5,50,1.0,2,8.95921927124395,13.103910163074797
6,50,10.0,1,1.7626990430649403,1.6530766449229788
7,50,10.0,2,9.266683787885869,12.646472338071
8,50,100.0,1,1.738364780636039,1.6407715010874875
9,50,100.0,2,11.03890195470759,12.608135877749882
10,50,1000.0,1,1.7822478720099924,1.7321890754598932
11,50,1000.0,2,12.08861469178712,12.574385597630037
12,100,,1,2.022333789794337,2.113504609874214
13,100,,2,6.296580204882382,4.473213420946926
14,100,0.1,1,1.9204566853121172,1.998836352303882
15,100,0.1,2,5.772577556105514,4.065835920091198
16,100,1.0,1,1.6953066332940503,1.7667117677357178
17,100,1.0,2,4.597946149636686,3.207996584625811
18,100,10.0,1,1.5029934532981497,1.5368096515826144
19,100,10.0,2,4.216476362398536,2.9441410499053404
20,100,100.0,1,1.4457471881116803,1.4428640762106546
21,100,100.0,2,4.84057823169764,3.3315709589434115
22,100,1000.0,1,1.4923095537644175,1.4716750612796712
23,100,1000.0,2,5.637833048957908,3.3570327503223156
24,200,,1,1.8515708813056788,1.9986184080418505
25,200,,2,2.659302799446335,2.558221828810262
26,200,0.1,1,1.766151351906452,1.9042411391321945
27,200,0.1,2,2.4416583817115805,2.339124483758736
28,200,1.0,1,1.5618929174985923,1.7445744086990898
29,200,1.0,2,2.0895950230002023,2.0780860674605264
30,200,10.0,1,1.3840772676053743,1.645531571685024
31,200,10.0,2,2.4087161654175704,2.04154133498668
32,200,100.0,1,1.3402415773020542,1.5085176407805223
33,200,100.0,2,2.879014012361357,2.3610465734909463
34,200,1000.0,1,1.388053775537174,1.4143675156186564
35,200,1000.0,2,3.2035918669808763,2.684250813292058
